TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6011,R13,SBL,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:42:00,2025-01-01 04:42:00,2025-01-01 04:42:07.572602,7.572601958625455,-18.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,total_delay=8s
14110,S21,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:46:00,2025-01-01 04:46:00,2025-01-01 04:46:00.000000,0.0,30.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,CORN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:46:00,2025-01-01 04:45:00,2025-01-01 04:46:05.374658,5.374657847394701,-20.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,CORN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:46:00,2025-01-01 04:46:00,2025-01-01 04:46:39.754719,39.754719062675576,-11.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,total_delay=40s
1607,IC51,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:48:00,2025-01-01 04:48:00,2025-01-01 04:48:00.000000,0.0,20.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,CRNE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:48:00,2025-01-01 04:48:00,2025-01-01 04:48:40.771553,40.77155277069323,-13.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,CRNE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:49:00,2025-01-01 04:48:00,2025-01-01 04:49:15.782567,15.782566891906754,-24.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,total_delay=16s
6010,R13,BI,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:51:00,2025-01-01 04:51:00,2025-01-01 04:51:00.000000,0.0,30.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,LD,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:51:00,2025-01-01 04:50:00,2025-01-01 04:51:15.919871,15.919870720859763,-20.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
3318,IR65,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 04:52:00,2025-01-01 04:52:00,2025-01-01 04:52:00.000000,0.0,4.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,LD,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:52:00,2025-01-01 04:52:00,2025-01-01 04:52:00.248999,0.24899935302164522,-10.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
7609,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:53:00,2025-01-01 04:53:00,2025-01-01 04:53:00.000000,0.0,12.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
15320,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:00.000000,0.0,12.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,NV,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:00.799520,0.7995203829123056,-11.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,NV,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:31.791346,31.79134561479441,-11.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,total_delay=32s
6905,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:55:00,2025-01-01 04:55:00,2025-01-01 04:55:00.000000,0.0,0.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6010,R13,TUE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:55:00,2025-01-01 04:55:00,2025-01-01 04:55:01.964727,1.9647271477042523,30.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6010,R13,TUE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:55:00,2025-01-01 04:56:00,2025-01-01 04:55:36.061190,36.06118985863577,20.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,total_delay=36s
6011,R13,LIG,RV,arrival,True,pass,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:57:00,2025-01-01 04:57:33.164322,-26.8356779687565,-18.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,LIG,RV,departure,True,pass,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:57:00,2025-01-01 04:57:33.164322,-26.8356779687565,-18.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,TWN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:59:00,2025-01-01 04:59:00,2025-01-01 04:58:33.467738,-26.532262354252452,-11.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
