TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
1607,IC51,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:48:00,2025-01-01 04:48:00,2025-01-01 04:48:20.000000,20.0,20.0,0.575,3.2,7.2,0.0,,,total_delay=20s
6011,R13,CRNE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:48:00,2025-01-01 04:48:00,2025-01-01 04:48:36.247571,36.24757083449367,-13.0,0.575,3.2,7.2,0.0,,,
6011,R13,CRNE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:49:00,2025-01-01 04:48:00,2025-01-01 04:49:11.424698,11.424698368242389,-24.0,0.575,3.2,7.2,0.0,,,total_delay=11s
6011,R13,LD,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:51:00,2025-01-01 04:50:00,2025-01-01 04:51:12.133975,12.133975388987892,-20.0,0.575,3.2,7.2,0.0,,,
6010,R13,BI,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:51:00,2025-01-01 04:51:00,2025-01-01 04:51:30.000000,30.0,30.0,0.575,3.2,7.2,0.0,,,total_delay=30s
3318,IR65,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 04:52:00,2025-01-01 04:52:00,2025-01-01 04:52:04.000000,4.0,4.0,0.575,3.2,7.2,0.0,,,
6011,R13,LD,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:52:00,2025-01-01 04:52:00,2025-01-01 04:52:04.228869,4.2288691331741575,-10.0,0.575,3.2,7.2,0.0,,,
7609,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:53:00,2025-01-01 04:53:00,2025-01-01 04:53:12.000000,12.0,12.0,0.575,3.2,7.2,0.0,,,total_delay=12s
6011,R13,NV,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:07.072722,7.072722206434264,-11.0,0.575,3.2,7.2,0.0,,,
15320,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:12.000000,12.0,12.0,0.575,3.2,7.2,0.0,,,total_delay=12s
6011,R13,NV,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:39.500460,39.5004600187458,-11.0,0.575,3.2,7.2,0.0,,,total_delay=40s
6905,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:55:00,2025-01-01 04:55:00,2025-01-01 04:55:00.000000,0.0,0.0,0.575,3.2,7.2,0.0,,,
6010,R13,TUE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:55:00,2025-01-01 04:55:00,2025-01-01 04:55:30.617409,30.617408632373554,30.0,0.575,3.2,7.2,0.0,,,
6010,R13,TUE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:55:00,2025-01-01 04:56:00,2025-01-01 04:56:04.849668,64.8496676878749,20.0,0.575,3.2,7.2,0.0,,,total_delay=65s
6011,R13,LIG,RV,arrival,True,pass,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:57:00,2025-01-01 04:57:44.143370,-15.85662987496471,-18.0,0.575,3.2,7.2,0.0,,,
6011,R13,LIG,RV,departure,True,pass,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:57:00,2025-01-01 04:57:44.143370,-15.85662987496471,-18.0,0.575,3.2,7.2,0.0,,,
6011,R13,TWN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:59:00,2025-01-01 04:59:00,2025-01-01 04:58:45.710739,-14.289261180703761,-11.0,0.575,3.2,7.2,0.0,,,
6010,R13,TWN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:59:00,2025-01-01 04:58:54.631950,54.63195041805375,26.0,0.575,3.2,7.2,0.0,,,
3959,RE6,NE,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:59:00,2025-01-01 04:58:00,2025-01-01 04:59:00.000000,0.0,-55.0,0.575,3.2,7.2,0.0,,,
3958,RE6,NE,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:00:00,2025-01-01 05:00:00,2025-01-01 05:00:00.000000,0.0,0.0,0.575,3.2,7.2,0.0,,,
6011,R13,TWN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:00:00,2025-01-01 05:00:00,2025-01-01 05:00:04.317622,4.317622032511281,-3.0,0.575,3.2,7.2,0.0,,,
6010,R13,TWN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:00:00,2025-01-01 04:59:00,2025-01-01 05:00:07.368139,7.368139139824052,-11.0,0.575,3.2,7.2,0.0,,,total_delay=7s
6010,R13,LIG,RV,arrival,True,pass,140,NVZ,2025-01-01 05:01:00,2025-01-01 05:01:00,2025-01-01 05:01:07.731730,7.731729551378521,-16.0,0.575,3.2,7.2,0.0,,,
6010,R13,LIG,RV,departure,True,pass,140,NVZ,2025-01-01 05:01:00,2025-01-01 05:01:00,2025-01-01 05:01:07.731730,7.731729551378521,-16.0,0.575,3.2,7.2,0.0,,,total_delay=8s
6011,R13,TUE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:03:00,2025-01-01 05:03:00,2025-01-01 05:03:03.443322,3.4433219389284204,36.0,0.575,3.2,7.2,0.0,,,
6011,R13,TUE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:03:00,2025-01-01 05:04:00,2025-01-01 05:03:35.073592,35.07359162723151,29.0,0.575,3.2,7.2,0.0,,,total_delay=35s
6010,R13,NV,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:04:00,2025-01-01 05:04:00,2025-01-01 05:04:01.114224,1.114223818647588,0.0,0.575,3.2,7.2,0.0,,,
15721,S5,NE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:04:00,2025-01-01 05:04:00,2025-01-01 05:04:14.000000,14.0,14.0,0.575,3.2,7.2,0.0,,,total_delay=14s
15319,S3,BI,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:05:00,2025-01-01 05:05:00,2025-01-01 05:05:00.000000,0.0,51.0,0.575,3.2,7.2,0.0,,,
