TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6010,R13,TWN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:00:00,2025-01-01 04:59:00,2025-01-01 05:00:19.032287,19.032287362289935,-11.0,-4,0.0,22,8,10,0.0,total_delay=19s
6010,R13,LIG,RV,arrival,True,pass,140,NVZ,2025-01-01 05:01:00,2025-01-01 05:01:00,2025-01-01 05:01:28.926525,28.926524502581742,-16.0,-4,0.0,22,8,10,0.0,
6010,R13,LIG,RV,departure,True,pass,140,NVZ,2025-01-01 05:01:00,2025-01-01 05:01:00,2025-01-01 05:01:28.926525,28.926524502581742,-16.0,-4,0.0,22,8,10,0.0,total_delay=29s
6011,R13,LIG,RV,arrival,True,pass,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:57:00,2025-01-01 05:01:43.962916,223.96291645651218,-18.0,-4,0.0,22,8,10,0.0,
6011,R13,LIG,RV,departure,True,pass,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:57:00,2025-01-01 05:01:43.962916,223.96291645651218,-18.0,-4,0.0,22,8,10,0.0,total_delay=224s
6011,R13,TWN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:59:00,2025-01-01 04:59:00,2025-01-01 05:02:54.729908,234.72990753369595,-11.0,-4,0.0,22,8,10,0.0,
6011,R13,TWN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:00:00,2025-01-01 05:00:00,2025-01-01 05:03:25.112807,205.11280660179182,-3.0,-4,0.0,22,8,10,0.0,total_delay=205s
15721,S5,NE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:04:00,2025-01-01 05:04:00,2025-01-01 05:04:00.000000,0.0,14.0,-4,0.0,22,8,10,0.0,
6906,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:05:00,2025-01-01 05:06:00,2025-01-01 05:05:00.000000,0.0,63.0,-4,0.0,22,8,10,0.0,
15319,S3,BI,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:05:00,2025-01-01 05:05:00,2025-01-01 05:05:00.000000,0.0,51.0,-4,0.0,22,8,10,0.0,
6010,R13,NV,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:04:00,2025-01-01 05:04:00,2025-01-01 05:05:00.762238,60.76223788777861,0.0,-4,0.0,22,8,10,0.0,
6010,R13,NV,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:05:00,2025-01-01 05:05:00,2025-01-01 05:05:33.571226,33.57122584944955,12.0,-4,0.0,22,8,10,0.0,total_delay=34s
6011,R13,TUE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:03:00,2025-01-01 05:03:00,2025-01-01 05:06:58.326314,238.3263142417709,36.0,-4,0.0,22,8,10,0.0,
6011,R13,TUE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:03:00,2025-01-01 05:04:00,2025-01-01 05:07:32.118456,272.11845575185,29.0,-4,0.0,22,8,10,0.0,total_delay=272s
6010,R13,LD,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:07:00,2025-01-01 05:07:00,2025-01-01 05:07:53.573700,53.57369958887284,11.0,-4,0.0,22,8,10,0.0,
7608,S20,BI,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:08:00,2025-01-01 05:06:00,2025-01-01 05:08:00.000000,0.0,-70.0,-4,0.0,22,8,10,0.0,
6010,R13,LD,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:07:00,2025-01-01 05:08:00,2025-01-01 05:08:27.191015,87.1910145421316,7.0,-4,0.0,22,8,10,0.0,total_delay=87s
6010,R13,CRNE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:09:00,2025-01-01 05:10:00,2025-01-01 05:10:47.952909,107.95290918173123,10.0,-4,0.0,22,8,10,0.0,
6010,R13,CRNE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:10:00,2025-01-01 05:10:00,2025-01-01 05:11:21.996575,81.99657537161329,7.0,-4,0.0,22,8,10,0.0,total_delay=82s
3657,RE4,BI,FV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:12:00,2025-01-01 05:12:00,2025-01-01 05:12:00.000000,0.0,47.0,-4,0.0,22,8,10,0.0,
14105,S21,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:12:00,2025-01-01 05:13:00,2025-01-01 05:12:00.000000,0.0,11.0,-4,0.0,22,8,10,0.0,
6011,R13,BI,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:07:00,2025-01-01 05:08:00,2025-01-01 05:12:15.037724,315.0377241485294,83.0,-4,0.0,22,8,10,0.0,
6010,R13,CORN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:12:00,2025-01-01 05:12:00,2025-01-01 05:13:42.319419,102.31941909595844,7.0,-4,0.0,22,8,10,0.0,
6010,R13,CORN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:13:00,2025-01-01 05:13:00,2025-01-01 05:14:18.286885,78.28688545817568,11.0,-4,0.0,22,8,10,0.0,total_delay=78s
14212,S20,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:17:00,2025-01-01 05:17:00,2025-01-01 05:17:00.000000,0.0,46.0,-4,0.0,22,8,10,0.0,
